source_id,series_id,event_time,available_at,observed_value,revision_id,change,change_percent,close,high,low,open,symbol,volume,vwap
financial_modeling_prep,SPY,2021-04-19T00:00:00Z,2021-04-19T21:00:00Z,415.21,0,-1.05,-0.25225,415.21,416.74,413.79,416.26,SPY,78498500,415.5
financial_modeling_prep,SPY,2021-04-20T00:00:00Z,2021-04-20T21:00:00Z,412.17,0,-1.74,-0.42038,412.17,415.09,410.59,413.91,SPY,81851800,412.94
financial_modeling_prep,SPY,2021-04-21T00:00:00Z,2021-04-21T21:00:00Z,416.07,0,4.56,1.11,416.07,416.29,411.36,411.51,SPY,66793000,413.81
financial_modeling_prep,SPY,2021-04-22T00:00:00Z,2021-04-22T21:00:00Z,412.27,0,-3.62,-0.87042,412.27,416.78,411.13,415.89,SPY,97582800,414.02
financial_modeling_prep,SPY,2021-04-23T00:00:00Z,2021-04-23T21:00:00Z,416.74,0,3.87,0.93734,416.74,418.25,412.79,412.87,SPY,73209200,415.16
financial_modeling_prep,SPY,2021-04-26T00:00:00Z,2021-04-26T21:00:00Z,417.61,0,0.17,0.04072442,417.61,418.22,416.81,417.44,SPY,52182400,417.52
financial_modeling_prep,SPY,2021-04-27T00:00:00Z,2021-04-27T21:00:00Z,417.52,0,-0.41,-0.09810255,417.52,418.14,416.3,417.93,SPY,51303100,417.47
financial_modeling_prep,SPY,2021-04-28T00:00:00Z,2021-04-28T21:00:00Z,417.4,0,-0.41,-0.09813073,417.4,419.01,416.9,417.81,SPY,51238900,417.78
financial_modeling_prep,SPY,2021-04-29T00:00:00Z,2021-04-29T21:00:00Z,420.06,0,-0.26,-0.06185763,420.06,420.72,416.44,420.32,SPY,78544300,419.39
financial_modeling_prep,SPY,2021-04-30T00:00:00Z,2021-04-30T21:00:00Z,417.3,0,-0.33,-0.07901731,417.3,418.54,416.34,417.63,SPY,85527000,417.45
financial_modeling_prep,SPY,2021-05-03T00:00:00Z,2021-05-03T21:00:00Z,418.2,0,-1.23,-0.29326,418.2,419.84,417.67,419.43,SPY,68128300,418.79
financial_modeling_prep,SPY,2021-05-04T00:00:00Z,2021-05-04T21:00:00Z,415.62,0,-0.45,-0.10815,415.62,416.6,411.67,416.07,SPY,101591200,414.99
financial_modeling_prep,SPY,2021-05-05T00:00:00Z,2021-05-05T21:00:00Z,415.75,0,-1.63,-0.39053,415.75,417.63,415.15,417.38,SPY,60162200,416.48
financial_modeling_prep,SPY,2021-05-06T00:00:00Z,2021-05-06T21:00:00Z,419.07,0,3.24,0.77916,419.07,419.21,413.68,415.83,SPY,74321400,416.95
financial_modeling_prep,SPY,2021-05-07T00:00:00Z,2021-05-07T21:00:00Z,422.12,0,2.23,0.53109,422.12,422.82,419.16,419.89,SPY,67733800,421
financial_modeling_prep,SPY,2021-05-10T00:00:00Z,2021-05-10T21:00:00Z,417.94,0,-4.56,-1.08,417.94,422.74,417.81,422.5,SPY,81852400,420.25
financial_modeling_prep,SPY,2021-05-11T00:00:00Z,2021-05-11T21:00:00Z,414.21,0,1.11,0.2687,414.21,415.27,410.06,413.1,SPY,116888000,413.16
financial_modeling_prep,SPY,2021-05-12T00:00:00Z,2021-05-12T21:00:00Z,405.41,0,-5.82,-1.42,405.41,412.59,404,411.23,SPY,134811000,408.31
financial_modeling_prep,SPY,2021-05-13T00:00:00Z,2021-05-13T21:00:00Z,410.28,0,3.21,0.78856,410.28,412.35,407.02,407.07,SPY,106394000,409.18
financial_modeling_prep,SPY,2021-05-14T00:00:00Z,2021-05-14T21:00:00Z,416.58,0,3.37,0.81557,416.58,417.49,413.18,413.21,SPY,82201600,415.11
financial_modeling_prep,SPY,2021-05-17T00:00:00Z,2021-05-17T21:00:00Z,415.52,0,0.13,0.03129589,415.52,416.39,413.36,415.39,SPY,65129200,415.17
financial_modeling_prep,SPY,2021-05-18T00:00:00Z,2021-05-18T21:00:00Z,411.94,0,-3.86,-0.92833,411.94,416.06,411.77,415.8,SPY,59810200,413.89
financial_modeling_prep,SPY,2021-05-19T00:00:00Z,2021-05-19T21:00:00Z,410.86,0,3.94,0.96825,410.86,411.05,405.33,406.92,SPY,106467100,408.54
financial_modeling_prep,SPY,2021-05-20T00:00:00Z,2021-05-20T21:00:00Z,415.28,0,3.48,0.84507,415.28,416.63,411.67,411.8,SPY,78022200,413.85
financial_modeling_prep,SPY,2021-05-21T00:00:00Z,2021-05-21T21:00:00Z,414.94,0,-1.93,-0.46297,414.94,418.2,414.45,416.87,SPY,76578700,416.12
financial_modeling_prep,SPY,2021-05-24T00:00:00Z,2021-05-24T21:00:00Z,419.17,0,1.83,0.43849,419.17,420.32,417.08,417.34,SPY,51376700,418.48
financial_modeling_prep,SPY,2021-05-25T00:00:00Z,2021-05-25T21:00:00Z,418.24,0,-2.09,-0.49723,418.24,420.71,417.62,420.33,SPY,57451400,419.22
financial_modeling_prep,SPY,2021-05-26T00:00:00Z,2021-05-26T21:00:00Z,419.07,0,0.2,0.04774751,419.07,419.61,417.76,418.87,SPY,43088600,418.83
financial_modeling_prep,SPY,2021-05-27T00:00:00Z,2021-05-27T21:00:00Z,419.29,0,-0.88,-0.20944,419.29,420.72,418.99,420.17,SPY,56707700,419.79
financial_modeling_prep,SPY,2021-05-28T00:00:00Z,2021-05-28T21:00:00Z,420.04,0,-0.93,-0.22092,420.04,421.25,419.79,420.97,SPY,58520200,420.51
financial_modeling_prep,SPY,2021-06-01T00:00:00Z,2021-06-01T21:00:00Z,419.67,0,-2.9,-0.68628,419.67,422.72,419.2,422.57,SPY,54216600,421.04
financial_modeling_prep,SPY,2021-06-02T00:00:00Z,2021-06-02T21:00:00Z,420.33,0,-0.04,-0.00951543,420.33,421.23,419.29,420.37,SPY,49097100,420.31
financial_modeling_prep,SPY,2021-06-03T00:00:00Z,2021-06-03T21:00:00Z,418.77,0,0.92,0.22017,418.77,419.99,416.28,417.85,SPY,58138800,418.22
financial_modeling_prep,SPY,2021-06-04T00:00:00Z,2021-06-04T21:00:00Z,422.6,0,1.85,0.43969,422.6,422.92,418.84,420.75,SPY,55938800,421.28
financial_modeling_prep,SPY,2021-06-07T00:00:00Z,2021-06-07T21:00:00Z,422.19,0,-0.4,-0.09465439,422.19,422.78,421.19,422.59,SPY,51555000,422.19
