source_id,series_id,event_time,available_at,observed_value,revision_id,change,change_percent,close,high,low,open,previous_close,symbol,volume,vwap
financial_modeling_prep,SPY,2021-04-20T00:00:00Z,2021-04-20T21:00:00Z,-0.007321596300667088,0,-1.74,-0.42038,412.17,415.09,410.59,413.91,415.21,SPY,81851800,412.94
financial_modeling_prep,SPY,2021-04-21T00:00:00Z,2021-04-21T21:00:00Z,0.00946211514666273,0,4.56,1.11,416.07,416.29,411.36,411.51,412.17,SPY,66793000,413.81
financial_modeling_prep,SPY,2021-04-22T00:00:00Z,2021-04-22T21:00:00Z,-0.009133078568510089,0,-3.62,-0.87042,412.27,416.78,411.13,415.89,416.07,SPY,97582800,414.02
financial_modeling_prep,SPY,2021-04-23T00:00:00Z,2021-04-23T21:00:00Z,0.010842409100832118,0,3.87,0.93734,416.74,418.25,412.79,412.87,412.27,SPY,73209200,415.16
financial_modeling_prep,SPY,2021-04-26T00:00:00Z,2021-04-26T21:00:00Z,0.0020876325766665538,0,0.17,0.04072442,417.61,418.22,416.81,417.44,416.74,SPY,52182400,417.52
financial_modeling_prep,SPY,2021-04-27T00:00:00Z,2021-04-27T21:00:00Z,-0.00021551208064951588,0,-0.41,-0.09810255,417.52,418.14,416.3,417.93,417.61,SPY,51303100,417.47
financial_modeling_prep,SPY,2021-04-28T00:00:00Z,2021-04-28T21:00:00Z,-0.00028741138149068757,0,-0.41,-0.09813073,417.4,419.01,416.9,417.81,417.52,SPY,51238900,417.78
financial_modeling_prep,SPY,2021-04-29T00:00:00Z,2021-04-29T21:00:00Z,0.006372783900335577,0,-0.26,-0.06185763,420.06,420.72,416.44,420.32,417.4,SPY,78544300,419.39
financial_modeling_prep,SPY,2021-04-30T00:00:00Z,2021-04-30T21:00:00Z,-0.006570489930009971,0,-0.33,-0.07901731,417.3,418.54,416.34,417.63,420.06,SPY,85527000,417.45
financial_modeling_prep,SPY,2021-05-03T00:00:00Z,2021-05-03T21:00:00Z,0.0021567217828899476,0,-1.23,-0.29326,418.2,419.84,417.67,419.43,417.3,SPY,68128300,418.79
financial_modeling_prep,SPY,2021-05-04T00:00:00Z,2021-05-04T21:00:00Z,-0.006169296987087458,0,-0.45,-0.10815,415.62,416.6,411.67,416.07,418.2,SPY,101591200,414.99
financial_modeling_prep,SPY,2021-05-05T00:00:00Z,2021-05-05T21:00:00Z,0.00031278571772297425,0,-1.63,-0.39053,415.75,417.63,415.15,417.38,415.62,SPY,60162200,416.48
financial_modeling_prep,SPY,2021-05-06T00:00:00Z,2021-05-06T21:00:00Z,0.007985568250150399,0,3.24,0.77916,419.07,419.21,413.68,415.83,415.75,SPY,74321400,416.95
financial_modeling_prep,SPY,2021-05-07T00:00:00Z,2021-05-07T21:00:00Z,0.00727802037845704,0,2.23,0.53109,422.12,422.82,419.16,419.89,419.07,SPY,67733800,421
financial_modeling_prep,SPY,2021-05-10T00:00:00Z,2021-05-10T21:00:00Z,-0.009902397422533848,0,-4.56,-1.08,417.94,422.74,417.81,422.5,422.12,SPY,81852400,420.25
financial_modeling_prep,SPY,2021-05-11T00:00:00Z,2021-05-11T21:00:00Z,-0.008924726037230268,0,1.11,0.2687,414.21,415.27,410.06,413.1,417.94,SPY,116888000,413.16
financial_modeling_prep,SPY,2021-05-12T00:00:00Z,2021-05-12T21:00:00Z,-0.021245262065135884,0,-5.82,-1.42,405.41,412.59,404,411.23,414.21,SPY,134811000,408.31
financial_modeling_prep,SPY,2021-05-13T00:00:00Z,2021-05-13T21:00:00Z,0.012012530524653897,0,3.21,0.78856,410.28,412.35,407.02,407.07,405.41,SPY,106394000,409.18
financial_modeling_prep,SPY,2021-05-14T00:00:00Z,2021-05-14T21:00:00Z,0.015355367066393733,0,3.37,0.81557,416.58,417.49,413.18,413.21,410.28,SPY,82201600,415.11
financial_modeling_prep,SPY,2021-05-17T00:00:00Z,2021-05-17T21:00:00Z,-0.0025445292620864812,0,0.13,0.03129589,415.52,416.39,413.36,415.39,416.58,SPY,65129200,415.17
financial_modeling_prep,SPY,2021-05-18T00:00:00Z,2021-05-18T21:00:00Z,-0.00861571043511744,0,-3.86,-0.92833,411.94,416.06,411.77,415.8,415.52,SPY,59810200,413.89
financial_modeling_prep,SPY,2021-05-19T00:00:00Z,2021-05-19T21:00:00Z,-0.002621741030247038,0,3.94,0.96825,410.86,411.05,405.33,406.92,411.94,SPY,106467100,408.54
financial_modeling_prep,SPY,2021-05-20T00:00:00Z,2021-05-20T21:00:00Z,0.010757922406659182,0,3.48,0.84507,415.28,416.63,411.67,411.8,410.86,SPY,78022200,413.85
financial_modeling_prep,SPY,2021-05-21T00:00:00Z,2021-05-21T21:00:00Z,-0.0008187247158543132,0,-1.93,-0.46297,414.94,418.2,414.45,416.87,415.28,SPY,76578700,416.12
financial_modeling_prep,SPY,2021-05-24T00:00:00Z,2021-05-24T21:00:00Z,0.010194244951077236,0,1.83,0.43849,419.17,420.32,417.08,417.34,414.94,SPY,51376700,418.48
financial_modeling_prep,SPY,2021-05-25T00:00:00Z,2021-05-25T21:00:00Z,-0.002218670229262587,0,-2.09,-0.49723,418.24,420.71,417.62,420.33,419.17,SPY,57451400,419.22
financial_modeling_prep,SPY,2021-05-26T00:00:00Z,2021-05-26T21:00:00Z,0.001984506503442951,0,0.2,0.04774751,419.07,419.61,417.76,418.87,418.24,SPY,43088600,418.83
financial_modeling_prep,SPY,2021-05-27T00:00:00Z,2021-05-27T21:00:00Z,0.0005249719617248516,0,-0.88,-0.20944,419.29,420.72,418.99,420.17,419.07,SPY,56707700,419.79
financial_modeling_prep,SPY,2021-05-28T00:00:00Z,2021-05-28T21:00:00Z,0.0017887381048915518,0,-0.93,-0.22092,420.04,421.25,419.79,420.97,419.29,SPY,58520200,420.51
financial_modeling_prep,SPY,2021-06-01T00:00:00Z,2021-06-01T21:00:00Z,-0.0008808684887153806,0,-2.9,-0.68628,419.67,422.72,419.2,422.57,420.04,SPY,54216600,421.04
financial_modeling_prep,SPY,2021-06-02T00:00:00Z,2021-06-02T21:00:00Z,0.001572664236185517,0,-0.04,-0.00951543,420.33,421.23,419.29,420.37,419.67,SPY,49097100,420.31
financial_modeling_prep,SPY,2021-06-03T00:00:00Z,2021-06-03T21:00:00Z,-0.0037113696381414485,0,0.92,0.22017,418.77,419.99,416.28,417.85,420.33,SPY,58138800,418.22
financial_modeling_prep,SPY,2021-06-04T00:00:00Z,2021-06-04T21:00:00Z,0.00914583184086748,0,1.85,0.43969,422.6,422.92,418.84,420.75,418.77,SPY,55938800,421.28
financial_modeling_prep,SPY,2021-06-07T00:00:00Z,2021-06-07T21:00:00Z,-0.000970184571699062,0,-0.4,-0.09465439,422.19,422.78,421.19,422.59,422.6,SPY,51555000,422.19
financial_modeling_prep,SPY,2021-06-08T00:00:00Z,2021-06-08T21:00:00Z,0.00021317416329136307,0,-0.83,-0.19617,422.28,423.21,420.32,423.11,422.19,SPY,47134300,422.23
financial_modeling_prep,SPY,2021-06-09T00:00:00Z,2021-06-09T21:00:00Z,-0.0014919011082693556,0,-1.53,-0.36155,421.65,423.26,421.41,423.18,422.28,SPY,48436300,422.38
financial_modeling_prep,SPY,2021-06-10T00:00:00Z,2021-06-10T21:00:00Z,0.004648405075299511,0,0.65,0.15368,423.61,424.63,421.55,422.96,421.65,SPY,51020100,423.19
financial_modeling_prep,SPY,2021-06-11T00:00:00Z,2021-06-11T21:00:00Z,0.0016524633507235542,0,0.11,0.02593116,424.31,424.43,422.82,424.2,423.61,SPY,45570800,423.94
financial_modeling_prep,SPY,2021-06-14T00:00:00Z,2021-06-14T21:00:00Z,0.002238929084867225,0,0.83,0.19556,425.26,425.37,423.1,424.43,424.31,SPY,42358500,424.54
financial_modeling_prep,SPY,2021-06-15T00:00:00Z,2021-06-15T21:00:00Z,-0.0018341720359309477,0,-0.94,-0.22096,424.48,425.46,423.54,425.42,425.26,SPY,51508500,424.73
financial_modeling_prep,SPY,2021-06-16T00:00:00Z,2021-06-16T21:00:00Z,-0.005583301922352013,0,-2.52,-0.59346,422.11,424.87,419.92,424.63,424.48,SPY,80386100,422.88
financial_modeling_prep,SPY,2021-06-17T00:00:00Z,2021-06-17T21:00:00Z,-0.00033166710099263863,0,0.3,0.07114568,421.97,423.02,419.32,421.67,422.11,SPY,90949700,421.5
financial_modeling_prep,SPY,2021-06-18T00:00:00Z,2021-06-18T21:00:00Z,-0.01670734886366332,0,-2.17,-0.52027,414.92,417.83,414.7,417.09,421.97,SPY,118676300,416.14
financial_modeling_prep,SPY,2021-06-21T00:00:00Z,2021-06-21T21:00:00Z,0.014316012725344551,0,4.06,0.97409,420.86,421.06,415.93,416.8,414.92,SPY,72822000,418.66
financial_modeling_prep,SPY,2021-06-22T00:00:00Z,2021-06-22T21:00:00Z,0.005346195884617266,0,2.26,0.53701,423.11,424,420.08,420.85,420.86,SPY,57700300,422.01
financial_modeling_prep,SPY,2021-06-23T00:00:00Z,2021-06-23T21:00:00Z,-0.00120536030819407,0,-0.59,-0.13942,422.6,424.05,422.51,423.19,423.11,SPY,49445400,423.09
financial_modeling_prep,SPY,2021-06-24T00:00:00Z,2021-06-24T21:00:00Z,0.005915759583530633,0,0.21,0.04942456,425.1,425.55,424.62,424.89,422.6,SPY,45110300,425.04
financial_modeling_prep,SPY,2021-06-25T00:00:00Z,2021-06-25T21:00:00Z,0.0035521053869678187,0,0.71,0.16671,426.61,427.09,425.55,425.9,425.1,SPY,58129500,426.29
financial_modeling_prep,SPY,2021-06-28T00:00:00Z,2021-06-28T21:00:00Z,0.002015892735754088,0,0.3,0.07022965,427.47,427.65,425.89,427.17,426.61,SPY,53159600,427.05
financial_modeling_prep,SPY,2021-06-29T00:00:00Z,2021-06-29T21:00:00Z,0.00053804945376279,0,-0.18,-0.04206787,427.7,428.56,427.13,427.88,427.47,SPY,35970500,427.82
financial_modeling_prep,SPY,2021-06-30T00:00:00Z,2021-06-30T21:00:00Z,0.0008417114800094438,0,0.85,0.19897,428.06,428.78,427.18,427.21,427.7,SPY,64827900,427.81
financial_modeling_prep,SPY,2021-07-01T00:00:00Z,2021-07-01T21:00:00Z,0.005536607017707862,0,1.56,0.36375,430.43,430.6,428.8,428.87,428.06,SPY,53441000,429.67
financial_modeling_prep,SPY,2021-07-02T00:00:00Z,2021-07-02T21:00:00Z,0.007643519271426369,0,2.05,0.4749,433.72,434.1,430.52,431.67,430.43,SPY,57697700,432.5
financial_modeling_prep,SPY,2021-07-06T00:00:00Z,2021-07-06T21:00:00Z,-0.0018214516277783588,0,-0.85,-0.19595,432.93,434.01,430.01,433.78,433.72,SPY,68710400,432.68
financial_modeling_prep,SPY,2021-07-07T00:00:00Z,2021-07-07T21:00:00Z,0.003534058623795966,0,0.8,0.18448,434.46,434.76,431.51,433.66,432.93,SPY,63549500,433.6
financial_modeling_prep,SPY,2021-07-08T00:00:00Z,2021-07-08T21:00:00Z,-0.008148045850020602,0,2.14,0.49909,430.92,431.73,427.52,428.78,434.46,SPY,97595200,429.74
financial_modeling_prep,SPY,2021-07-09T00:00:00Z,2021-07-09T21:00:00Z,0.010674835236238689,0,2.99,0.69128,435.52,435.84,430.71,432.53,430.92,SPY,76238600,433.65
financial_modeling_prep,SPY,2021-07-12T00:00:00Z,2021-07-12T21:00:00Z,0.0035819250551065718,0,1.65,0.37894,437.08,437.35,434.97,435.43,435.52,SPY,52889600,436.21
financial_modeling_prep,SPY,2021-07-13T00:00:00Z,2021-07-13T21:00:00Z,-0.0034089869131509465,0,-0.65,-0.149,435.59,437.84,435.31,436.24,437.08,SPY,52911300,436.24
financial_modeling_prep,SPY,2021-07-14T00:00:00Z,2021-07-14T21:00:00Z,0.0014922289308754166,0,-1.16,-0.2652,436.24,437.92,434.91,437.4,435.59,SPY,64130400,436.62
financial_modeling_prep,SPY,2021-07-15T00:00:00Z,2021-07-15T21:00:00Z,-0.0034155510728040017,0,-0.06,-0.01379913,434.75,435.53,432.72,434.81,436.24,SPY,55126400,434.45
financial_modeling_prep,SPY,2021-07-16T00:00:00Z,2021-07-16T21:00:00Z,-0.007843588269120239,0,-4.67,-1.07,431.34,436.06,430.92,436.01,434.75,SPY,75874700,433.58
financial_modeling_prep,SPY,2021-07-19T00:00:00Z,2021-07-19T21:00:00Z,-0.014767932489451407,0,-1.22,-0.28626,424.97,431.41,421.97,426.19,431.34,SPY,147987000,426.14
